"survey_id","transect_id","file_name","cast_time_UTC"
"2018_S1","T7S2","CC1831006_20180824_023109",2018-08-24 02:31:09
"2018_S1","T7S1","CC1831006_20180824_030327",2018-08-24 03:03:27
"2018_S1","T8S1","CC1831006_20180824_032004",2018-08-24 03:20:04
"2018_S1","T8S2","CC1831006_20180824_034620",2018-08-24 03:46:20
"2018_S1","T8S3","CC1831006_20180824_041253",2018-08-24 04:12:53
"2018_S1","T9S4","CC1831006_20180824_043318",2018-08-24 04:33:18
"2018_S1","T9S3","CC1831006_20180824_050411",2018-08-24 05:04:11
"2018_S1","T9S2","CC1831006_20180824_053640",2018-08-24 05:36:40
"2018_S1","T9S1","CC1831006_20180824_060445",2018-08-24 06:04:45
"2018_S2","T1S1","CC1831006_20180927_215438",2018-09-27 21:54:38
"2018_S2","T1S2","CC1831006_20180927_225928",2018-09-27 22:59:28
"2018_S2","T1S3","CC1831006_20180927_233224",2018-09-27 23:32:24
"2018_S2","T1S4","CC1831006_20180928_000536",2018-09-28 00:05:36
"2018_S2","T1S5","CC1831006_20180928_004558",2018-09-28 00:45:58
"2018_S2","T2S1","CC1831006_20180929_215819",2018-09-29 21:58:19
"2018_S2","T2S2","CC1831006_20180929_223937",2018-09-29 22:39:37
"2018_S2","T2S3","CC1831006_20180929_230504",2018-09-29 23:05:04
"2018_S2","T2S4","CC1831006_20180929_233100",2018-09-29 23:31:00
"2018_S2","T2S5","CC1831006_20180929_235936",2018-09-29 23:59:36
"2018_S2","T3S4","CC1831006_20180930_001914",2018-09-30 00:19:14
"2018_S2","T3S3","CC1831006_20180930_004821",2018-09-30 00:48:21
"2018_S2","T3S2","CC1831006_20180930_011606",2018-09-30 01:16:06
"2018_S2","T3S1","CC1831006_20180930_013754",2018-09-30 01:37:54
"2018_S2","T4S1","CC1831006_20180930_030613",2018-09-30 03:06:13
"2018_S2","T4S2","CC1831006_20180930_033901",2018-09-30 03:39:01
"2018_S2","T4S3","CC1831006_20180930_040731",2018-09-30 04:07:31
"2018_S2","T4S4","CC1831006_20180930_042915",2018-09-30 04:29:15
"2018_S2","T5S1","CC1831006_20180930_220743",2018-09-30 22:07:43
"2018_S2","T5S2","CC1831006_20180930_223033",2018-09-30 22:30:33
"2018_S2","T5S3","CC1831006_20180930_225423",2018-09-30 22:54:23
"2018_S2","T6S3","CC1831006_20180930_231532",2018-09-30 23:15:32
"2018_S2","T6S2","CC1831006_20180930_234607",2018-09-30 23:46:07
"2018_S2","T6S1","CC1831006_20181001_001058",2018-10-01 00:10:58
"2018_S2","T7S2","CC1831006_20181001_003844",2018-10-01 00:38:44
"2018_S2","T7S1","CC1831006_20181001_010549",2018-10-01 01:05:49
"2018_S2","T8S1","CC1831006_20181001_012541",2018-10-01 01:25:41
"2018_S2","T8S2","CC1831006_20181001_015727",2018-10-01 01:57:27
"2018_S2","T8S3","CC1831006_20181001_023309",2018-10-01 02:33:09
"2019_S1","T1S1","CC1831006_20190924_012633",2019-09-24 01:26:33
"2019_S1","T1S2","CC1831006_20190924_020502",2019-09-24 02:05:02
"2019_S1","T1S3","CC1831006_20190924_023254",2019-09-24 02:32:54
"2019_S1","T1S4","CC1831006_20190924_030325",2019-09-24 03:03:25
"2019_S1","T1S5","CC1831006_20190924_033101",2019-09-24 03:31:01
"2019_S1","T2S5","CC1831006_20190924_035427",2019-09-24 03:54:27
"2019_S1","T2S4","CC1831006_20190924_042402",2019-09-24 04:24:02
"2019_S1","T2S3","CC1831006_20190924_044940",2019-09-24 04:49:40
"2019_S1","T2S2","CC1831006_20190924_051751",2019-09-24 05:17:51
"2019_S1","T2S1","CC1831006_20190924_054643",2019-09-24 05:46:43
"2019_S1","T3S1","CC1831006_20190924_215002",2019-09-24 21:50:02
"2019_S1","T3S2","CC1831006_20190924_223148",2019-09-24 22:31:48
"2019_S1","T3S3","CC1831006_20190924_230003",2019-09-24 23:00:03
"2019_S1","T3S4","CC1831006_20190924_232919",2019-09-24 23:29:19
"2019_S1","T4S4","CC1831006_20190924_234206",2019-09-24 23:42:06
"2019_S1","T4S3","CC1831006_20190925_000859",2019-09-25 00:08:59
"2019_S1","T4S2","CC1831006_20190925_003403",2019-09-25 00:34:03
"2019_S1","T4S1","CC1831006_20190925_005852",2019-09-25 00:58:52
"2019_S1","T5S3","CC1831006_20190925_041023",2019-09-25 04:10:23
"2019_S1","T5S2","CC1831006_20190925_050232",2019-09-25 05:02:32
"2019_S1","T5S1","CC1831006_20190925_052500",2019-09-25 05:25:00
"2019_S1","T6S3","CC1831006_20190925_215604",2019-09-25 21:56:04
"2019_S1","T6S2","CC1831006_20190925_223733",2019-09-25 22:37:33
"2019_S1","T6S1","CC1831006_20190925_230307",2019-09-25 23:03:07
"2019_S1","T7S1","CC1831006_20190925_231612",2019-09-25 23:16:12
"2019_S1","T7S2","CC1831006_20190925_234039",2019-09-25 23:40:39
"2019_S1","T8S1","CC1831006_20190926_000000",2019-09-26 00:00:00
"2019_S1","T8S2","CC1831006_20190926_002442",2019-09-26 00:24:42
"2019_S1","T8S3","CC1831006_20190926_004741",2019-09-26 00:47:41
"2019_S1","T9S4","CC1831006_20190926_010311",2019-09-26 01:03:11
"2019_S1","T9S3","CC1831006_20190926_012838",2019-09-26 01:28:38
"2019_S1","T9S2","CC1831006_20190926_015518",2019-09-26 01:55:18
"2019_S1","T9S1","CC1831006_20190926_022216",2019-09-26 02:22:16
"2019_S2","T1S1","CC1831006_20190930_213631",2019-09-30 21:36:31
"2019_S2","T1S2","CC1831006_20190930_221624",2019-09-30 22:16:24
"2019_S2","T1S3","CC1831006_20190930_224016",2019-09-30 22:40:16
"2019_S2","T1S4","CC1831006_20190930_230507",2019-09-30 23:05:07
"2019_S2","T1S5","CC1831006_20190930_232900",2019-09-30 23:29:00
"2019_S2","T2S5","CC1831006_20190930_234546",2019-09-30 23:45:46
"2019_S2","T2S4","CC1831006_20191001_001045",2019-10-01 00:10:45
"2019_S2","T2S3","CC1831006_20191001_003518",2019-10-01 00:35:18
"2019_S2","T2S2","CC1831006_20191001_010102",2019-10-01 01:01:02
"2019_S2","T2S1","CC1831006_20191001_012713",2019-10-01 01:27:13
"2019_S2","T3S1","CC1831006_20191001_215350",2019-10-01 21:53:50
"2019_S2","T3S2","CC1831006_20191001_221332",2019-10-01 22:13:32
"2019_S2","T3S3","CC1831006_20191001_223549",2019-10-01 22:35:49
"2019_S2","T3S4","CC1831006_20191001_225844",2019-10-01 22:58:44
"2019_S2","T4S4","CC1831006_20191001_231929",2019-10-01 23:19:29
"2019_S2","T4S3","CC1831006_20191001_234511",2019-10-01 23:45:11
"2019_S2","T4S2","CC1831006_20191002_000929",2019-10-02 00:09:29
"2019_S2","T4S1","CC1831006_20191002_003328",2019-10-02 00:33:28
"2019_S2","T5S1","CC1831006_20191002_004859",2019-10-02 00:48:59
"2019_S2","T5S2","CC1831006_20191002_011024",2019-10-02 01:10:24
"2019_S2","T5S3","CC1831006_20191002_013353",2019-10-02 01:33:53
"2019_S2","T6S3","CC1831006_20191002_015001",2019-10-02 01:50:01
"2019_S2","T6S2","CC1831006_20191002_021446",2019-10-02 02:14:46
"2019_S2","T6S1","CC1831006_20191002_023918",2019-10-02 02:39:18
"2019_S2","T7S1","CC1831006_20191002_025430",2019-10-02 02:54:30
"2019_S2","T7S2","CC1831006_20191002_031701",2019-10-02 03:17:01
"2019_S2","T8S1","CC1831006_20191002_033329",2019-10-02 03:33:29
"2019_S2","T8S2","CC1831006_20191002_035508",2019-10-02 03:55:08
"2019_S2","T8S3","CC1831006_20191002_042024",2019-10-02 04:20:24
"2019_S2","T9S4","CC1831006_20191002_044214",2019-10-02 04:42:14
"2019_S2","T9S3","CC1831006_20191002_050655",2019-10-02 05:06:55
"2019_S2","T9S2","CC1831006_20191002_053048",2019-10-02 05:30:48
"2019_S2","T9S1","CC1831006_20191002_055746",2019-10-02 05:57:46
